county,population
Miami-Dade,2715516
Broward,1909151
Palm Beach,1446277
Hillsborough,1378883
Orange,1321194
Pinellas,957875
Duval,924229
Lee,718679
Polk,668671
Brevard,576808
Volusia,527634
Pasco,510593
Seminole,455086
Sarasota,412144
Manatee,373853
Collier,363922
Marion,348371
Osceola,338619
Lake,335362
Escambia,311522
St. Lucie,305591
Leon,288102
Alachua,263148
St. Johns,235503
Clay,207291
Okaloosa,200737
Hernando,182696
Bay,182482
Charlotte,176954
Santa Rosa,170442
Martin,157581
Indian River,150984
Citrus,143087
Sumter,120999
Flagler,107139
Highlands,102101
Nassau,80578
Monroe,76325
Putnam,72766
Columbia,69105
Walton,65858
Jackson,48472
Gadsden,46017
Suwannee,43924
Okeechobee,40572
Hendry,40127
Levy,39961
DeSoto,36399
Wakulla,31877
Baker,27785
Hardee,27228
Bradford,26979
Washington,24566
Taylor,22098
Holmes,19430
Madison,18474
Gilchrist,17615
Dixie,16437
Gulf,16055
Union,15239
Calhoun,14444
Hamilton,14269
Jefferson,14105
Glades,13363
Franklin,11736
Lafayette,8744
Liberty,8365
